424,Shane Kingston,Disciples of Tzeentch,-23.5
425,Patrick O'Sullivan,Idoneth Deepkin,-24.7
426,Joshua Richards,Cities of Sigmar,-24.8
427,Katalin Fekete,Idoneth Deepkin,-25.0
428,Keith Ball,Flesh Eater Courts,-25.5
429,Rob Wales,Big Waaagh,-25.8
430,Keith Winquist,Grand Host of Nagash,-25.8
431,James Beeden,Seraphon,-25.9
432,Sam Freeman,Grand Host of Nagash,-26.7
433,Gavin Dorrigan,Legions of Nagash,-27.0
434,Kev Harrington,Flesh Eater Courts,-28.9
435,Alun Haines,Daughters of Khaine,-29.6
436,Martin Laughlin,Skaven,-33.6
