284,Paul Berridge,Dispossessed,-7.4
285,Grant Mudie,Ironjawz,-7.5
286,William Philpott,Order,-7.5
287,Chris Archibald,Idoneth Deepkin,-8.1
288,Declan Waters,Gloomspite Gitz,-8.2
289,Ben Smith,Stormcast Eternals,-8.3
290,Ethan Leach,Idoneth Deepkin,-8.4
291,Jake Powis,Sylvaneth,-8.4
292,Conor McNama,Disciples of Tzeentch,-8.6
293,Dave Carter,Nighthaunt,-8.8
294,Luke Whitehead,Flesh Eater Courts,-8.9
295,Stephen Smith,Gloomspite Gitz,-9.2
296,Stuart Hodges,Gloomspite Gitz,-9.8
297,Simon Partridge,Beasts of Chaos,-9.8
298,James Houston,Skaven,-10.6
299,Jon Cann,Mawtribes,-10.8
300,Sam Watson,Legions of Nagash,-10.9
301,Luke Evans,Legions of Nagash,-11.0
302,Neil Peckett,Stormcast Eternals,-11.1
303,Adam Martin,Hosts of Slaanesh,-11.7
304,Shaun Lang,Legion of Night,-12.1
305,Ben Gomm,Nighthaunt,-12.2
306,Josh Cann,Maggotkin of Nurgle,-12.3
307,Tim Martin,Blades of Khorne,-12.8
308,Dave Busse,Ironjawz,-12.8
309,Angus Brain,Stormcast Eternals,-13.5
310,Wayne Rendell,Ironjawz,-13.7
311,Martyn Furnival,Hedonites of Slaanesh,-13.8
312,Matt Clarke,Idoneth Deepkin,-14.0
313,John Dorrian,Blades of Khorne,-14.2
314,Paul Whitehead,Beastclaw Raiders,-14.3
315,Michael Browning,Flesh Eater Courts,-14.6
316,Hamid Khabbazan,Free Peoples,-14.9
317,Simon Froley,Daughters of Khaine,-15.0
318,Obaid Bin,Stormcast Eternals,-15.1
319,Ben Price,Seraphon,-15.4
320,Jack McQuiggin,Seraphon,-15.4
321,Anthony Poole,Sylvaneth,-15.5
322,Andrew Hodges,Nighthaunt,-15.6
323,Mark Mitzman,Gloomspite Gitz,-15.7
324,Travis Kelly,Fyreslayers,-15.8
325,Keirran Wilson,Flesh Eater Courts,-15.9
326,Miles Hewitt,Skaventide,-15.9
327,Dominic Hook,Skaventide,-16.2
328,Daniel Elkington,Slaves to Darkness,-16.2
329,Ade Thompson,Beasts of Chaos,-16.3
330,Craig Carlton,Fyreslayers,-16.4
331,William Morris,Gloomspite Gitz,-16.6
332,Lewis Sloan,Sylvaneth,-16.9
333,Jack Maiden,Gloomspite Gitz,-17.0
334,Matt Willis,Ironjawz,-17.2
335,John Greene,Sylvaneth,-17.5
336,Tom Holmes,Gloomspite Gitz,-17.5
337,Ross Howard,Gloomspite Gitz,-17.6
338,Gary Pollock,Blades of Khorne,-17.7
339,Luke Power,Sylvaneth,-18.0
340,Duncan Woods,Bonesplitterz,-18.2
341,Will Pollock,Skaven,-18.3
342,Stuart Millar,Legion of Sacrement,-18.9
343,Pete Bradley,Legion of Sacrement,-18.9
344,Matthew Ward,Skaventide,-19.0
345,Jason Hodgekinson,Ironjawz,-19.7
346,Dave Roberts,Flesh Eater Courts,-20.1
347,Ben Bailey,Daughters of Khaine,-20.2
348,Adrian Downey,Legion of Grief,-20.3
349,Bryn Roberts,Sylvaneth,-20.7
350,Scott Smith,Flesh Eater Courts,-20.9
351,Lee Whitely,Blades of Khorne,-20.9
352,Tom Bridges,Stormcast Eternals,-21.1
353,Johnny Armstrong,Skaventide,-21.1
354,Thomas Blaxall,Gloomspite Gitz,-21.2
355,Graham Shirley,Gloomspite Gitz,-21.6
356,Jenny Lyons,Nighthaunt,-21.7
357,Andy Mackay,Stormcast Eternals,-22.2
358,James Eveleigh,Gloomspite Gitz,-22.5
359,Keith Baggott,Wanderers,-22.6
360,Alex McGee,Skaven,-22.7
361,Alex Johnson,Gloomspite Gitz,-22.9
362,Alessandro Leto,Stormcast Eternals,-23.0
363,Tom Hewitt,Flesh Eater Courts,-23.0
364,Jamie White,Cities of Sigmar,-23.1
365,Tom Gilboy,Idoneth Deepkin,-23.6
366,Matthew Walker,Hedonites of Slaanesh,-23.8
367,Nigel Barham,Disciples of Tzeentch,-23.9
368,Tom Bailey,Blades of Khorne,-23.9
369,Evan White,Mawtribes,-24.3
370,Reece West,Stormcast Eternals,-24.7
371,Stevie Kilmister,Seraphon,-24.9
372,David Thompson,Sylvaneth,-24.9
373,Mark Pinnington,UNKNOWN_ARMY,-24.9
374,Tim Bland,Disciples of Tzeentch,-25.5
375,Glen Caldecott,Stormcast Eternals,-26.1
376,Ian Tong,Nighthaunt,-26.3
377,Gabriele Sosso,Legion of Blood,-26.9
378,Jamie Muscroft,Kharadron Overlords,-27.0
379,Chris Nellis,Daughters of Khaine,-27.2
380,Matt Dawson,Hosts of Slaanesh,-27.6
381,Ric Ellis,Stormcast Eternals,-27.8
382,Stephen Ramage,Nighthaunt,-27.9
383,Jack Davenport,Stormcast Eternals,-28.2
384,Thomas Hamilton,Disciples of Tzeentch,-28.4
385,Jane Slater,Seraphon,-28.4
386,Tom Landy,Maggotkin of Nurgle,-28.5
387,Ian Ralph,Hedonites of Slaanesh,-28.5
388,Gareth Parfitt,Gloomspite Gitz,-28.6
389,Callum Watson,Blades of Khorne,-28.7
390,Chris Elliot,Skaventide,-28.8
391,Carl Smith,Gloomspite Gitz,-29.0
392,Lyndon Sinclair,Hosts of Slaanesh,-29.0
393,David Fulbrook,Maggotkin of Nurgle,-30.1
394,Rob Boyce,Ironjawz,-30.2
395,Des Brennan,Big Waaagh,-30.4
396,Tim Pearce,Stormcast Eternals,-30.5
397,Dave Knatt,Gloomspite Gitz,-30.6
398,Jack Carruthers,Slaves to Darkness,-30.6
399,Wil Johnson,Blades of Khorne,-31.0
400,Erik Bews,Slaves to Darkness,-31.1
401,Matt Robinson,Maggotkin of Nurgle,-31.4
402,Reuben Beard,Bonesplitterz,-31.9
403,Steve Wren,Idoneth Deepkin,-32.0
404,Barry White,Mawtribes,-32.0
405,Lee Downes,Daughters of Khaine,-32.2
406,Steven Lumsdale,Disciples of Tzeentch,-32.7
407,Colin Mather,UNKNOWN_ARMY,-33.0
408,Thomas Lawler,Maggotkin of Nurgle,-33.3
409,Mike Parker,Stormcast Eternals,-33.3
410,Phil Dodd,Stormcast Eternals,-33.4
411,Iain Hunter,Beasts of Chaos,-34.0
412,Grant Fraser,Flesh Eater Courts,-34.1
413,Garry Marshall,Maggotkin of Nurgle,-34.2
414,Graeme Davidson,Nighthaunt,-34.7
415,Christine Coram,Ironjawz,-34.8
416,Samuel Green,Skaventide,-35.2
417,Gareth Ravenscroft,Flesh Eater Courts,-35.5
418,Edward Hamon,Disciples of Tzeentch,-35.7
419,Kyle Staton,Hedonites of Slaanesh,-36.2
420,Shane Kingston,Disciples of Tzeentch,-36.9
421,James Thompson,Sylvaneth,-37.0
422,Matthew Austen,Seraphon,-37.9
423,Dan Barwick,Fyreslayers,-38.0
424,Phillip Jenkins,Ossiarch Bonereapers,-38.5
425,Joshua Richards,Cities of Sigmar,-40.1
426,James Beeden,Seraphon,-40.2
427,Patrick O'Sullivan,Idoneth Deepkin,-41.0
428,Katalin Fekete,Idoneth Deepkin,-41.1
429,Keith Winquist,Grand Host of Nagash,-42.1
430,Rob Wales,Big Waaagh,-42.2
431,Gavin Dorrigan,Legions of Nagash,-42.3
432,Keith Ball,Flesh Eater Courts,-43.5
433,Sam Freeman,Grand Host of Nagash,-44.4
434,Kev Harrington,Flesh Eater Courts,-45.2
435,Alun Haines,Daughters of Khaine,-47.2
436,Martin Laughlin,Skaven,-53.1
